filename,split,source
12.jpg,train,kaggle
124.jpg,train,kaggle
135.jpg,train,kaggle
109.jpg,train,kaggle
20.jpg,train,kaggle
90.jpg,train,kaggle
101.jpg,train,kaggle
138.jpg,train,kaggle
133.jpg,train,kaggle
57.jpg,train,kaggle
28.jpg,train,kaggle
37.jpg,train,kaggle
39.jpg,train,kaggle
62.jpg,train,kaggle
158.jpg,train,kaggle
23.jpg,train,kaggle
126.jpg,train,kaggle
3.jpg,train,kaggle
94.jpg,train,kaggle
43.jpg,train,kaggle
8.jpg,train,kaggle
2.jpg,train,kaggle
119.jpg,train,kaggle
111.jpg,train,kaggle
33.jpg,train,kaggle
103.jpg,train,kaggle
127.jpg,train,kaggle
86.jpg,train,kaggle
47.jpg,train,kaggle
102.jpg,train,kaggle
41.jpg,train,kaggle
64.jpg,train,kaggle
89.jpg,train,kaggle
46.jpg,train,kaggle
146.jpg,train,kaggle
49.jpg,train,kaggle
116.jpg,train,kaggle
110.jpg,train,kaggle
70.jpg,train,kaggle
115.jpg,train,kaggle
137.jpg,train,kaggle
30.jpg,train,kaggle
48.jpg,train,kaggle
140.jpg,train,kaggle
156.jpg,train,kaggle
96.jpg,train,kaggle
161.jpg,train,kaggle
17.jpg,train,kaggle
93.jpg,train,kaggle
131.jpg,train,kaggle
141.jpg,train,kaggle
107.jpg,train,kaggle
11.jpg,train,kaggle
31.jpg,train,kaggle
55.jpg,train,kaggle
45.jpg,train,kaggle
99.jpg,train,kaggle
13.jpg,train,kaggle
19.jpg,train,kaggle
97.jpg,train,kaggle
6.jpg,train,kaggle
40.jpg,train,kaggle
53.jpg,train,kaggle
54.jpg,train,kaggle
15.jpg,train,kaggle
143.jpg,train,kaggle
154.jpg,train,kaggle
134.jpg,train,kaggle
142.jpg,train,kaggle
24.jpg,train,kaggle
152.jpg,train,kaggle
169.jpg,train,yolo_whatsapp
129.jpg,train,yolo_whatsapp
191.jpg,train,yolo_whatsapp
183.jpg,train,yolo_whatsapp
81.jpg,train,yolo_whatsapp
188.jpg,train,yolo_whatsapp
175.jpg,train,yolo_whatsapp
177.jpg,train,yolo_whatsapp
172.jpg,train,yolo_whatsapp
215.jpg,train,yolo_whatsapp
22.jpg,train,yolo_whatsapp
181.jpg,train,yolo_whatsapp
174.jpg,train,yolo_whatsapp
71.jpg,train,yolo_whatsapp
95.jpg,train,yolo_whatsapp
207.jpg,train,yolo_whatsapp
27.jpg,train,yolo_whatsapp
79.jpg,train,yolo_whatsapp
83.jpg,train,yolo_whatsapp
194.jpg,train,yolo_whatsapp
26.jpg,train,yolo_whatsapp
216.jpg,train,yolo_whatsapp
84.jpg,train,yolo_whatsapp
166.jpg,train,yolo_whatsapp
208.jpg,train,yolo_whatsapp
87.jpg,train,yolo_whatsapp
18.jpg,train,yolo_whatsapp
76.jpg,train,yolo_whatsapp
105.jpg,train,yolo_whatsapp
171.jpg,train,yolo_whatsapp
165.jpg,train,yolo_whatsapp
73.jpg,train,yolo_whatsapp
205.jpg,train,yolo_whatsapp
196.jpg,train,yolo_whatsapp
51.jpg,train,yolo_whatsapp
199.jpg,train,yolo_whatsapp
136.jpg,train,yolo_whatsapp
209.jpg,train,yolo_whatsapp
187.jpg,train,yolo_whatsapp
190.jpg,train,yolo_whatsapp
163.jpg,train,yolo_whatsapp
202.jpg,train,yolo_whatsapp
82.jpg,train,yolo_whatsapp
58.jpg,train,yolo_whatsapp
67.jpg,train,yolo_whatsapp
168.jpg,train,yolo_whatsapp
182.jpg,train,yolo_whatsapp
180.jpg,train,yolo_whatsapp
210.jpg,train,yolo_whatsapp
170.jpg,train,yolo_whatsapp
212.jpg,train,yolo_whatsapp
214.jpg,train,yolo_whatsapp
213.jpg,train,yolo_whatsapp
204.jpg,train,yolo_whatsapp
201.jpg,train,yolo_whatsapp
74.jpg,train,yolo_whatsapp
203.jpg,train,yolo_whatsapp
186.jpg,train,yolo_whatsapp
176.jpg,train,yolo_whatsapp
9.jpg,train,yolo_whatsapp
147.jpg,val,kaggle
132.jpg,val,kaggle
25.jpg,val,kaggle
1.jpg,val,kaggle
159.jpg,val,kaggle
151.jpg,val,kaggle
80.jpg,val,kaggle
157.jpg,val,kaggle
66.jpg,val,kaggle
120.jpg,val,kaggle
114.jpg,val,kaggle
122.jpg,val,kaggle
32.jpg,val,kaggle
108.jpg,val,kaggle
92.jpg,val,kaggle
36.jpg,val,kaggle
106.jpg,val,yolo_whatsapp
60.jpg,val,yolo_whatsapp
185.jpg,val,yolo_whatsapp
167.jpg,val,yolo_whatsapp
198.jpg,val,yolo_whatsapp
173.jpg,val,yolo_whatsapp
164.jpg,val,yolo_whatsapp
211.jpg,val,yolo_whatsapp
10.jpg,val,yolo_whatsapp
200.jpg,val,yolo_whatsapp
145.jpg,val,yolo_whatsapp
197.jpg,val,yolo_whatsapp
189.jpg,val,yolo_whatsapp
34.jpg,test,kaggle
149.jpg,test,kaggle
4.jpg,test,kaggle
5.jpg,test,kaggle
68.jpg,test,kaggle
104.jpg,test,kaggle
14.jpg,test,kaggle
98.jpg,test,kaggle
148.jpg,test,kaggle
155.jpg,test,kaggle
117.jpg,test,kaggle
16.jpg,test,kaggle
160.jpg,test,kaggle
21.jpg,test,kaggle
162.jpg,test,kaggle
38.jpg,test,kaggle
42.jpg,test,kaggle
7.jpg,test,kaggle
35.jpg,test,kaggle
178.jpg,test,yolo_whatsapp
179.jpg,test,yolo_whatsapp
56.jpg,test,yolo_whatsapp
206.jpg,test,yolo_whatsapp
184.jpg,test,yolo_whatsapp
78.jpg,test,yolo_whatsapp
77.jpg,test,yolo_whatsapp
72.jpg,test,yolo_whatsapp
44.jpg,test,yolo_whatsapp
63.jpg,test,yolo_whatsapp
193.jpg,test,yolo_whatsapp
195.jpg,test,yolo_whatsapp
75.jpg,test,yolo_whatsapp
